huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento_entero,limpieza,llegada_autonoma,ubicacion_fantastica,cocina,wifi,lavadora,aire_acondicionado,secador,frigorifico
2,1,2,1,55,4.9,1,1,1,1,1,1,1,1,1,1
6,3,4,2,99,4.4,1,0,1,0,1,1,0,1,1,1
5,2,4,1,83,4.52,1,1,1,0,0,0,1,0,0,1
2,1,1,1,60,4.8,1,1,1,1,0,0,1,0,0,1
5,3,3,1,50,4.84,1,1,1,1,1,1,0,1,1,0
6,2,3,1,68,3.73,1,0,0,1,1,1,0,1,1,1
2,1,2,1,55,4.93,1,1,1,0,1,1,1,1,1,1
5,2,3,1,55,4.45,1,1,1,1,1,1,0,0,1,0
5,3,4,1,49,4.43,1,0,0,1,1,1,0,0,1,0
5,2,3,1,85,4.95,1,1,1,0,1,1,0,1,0,1
5,2,3,1,106,4.95,1,1,1,0,1,1,0,1,0,1
5,2,4,2,61,4.0,1,1,1,1,1,1,1,1,1,0
4,1,2,1,60,3.33,1,1,1,0,1,1,1,0,0,0
5,2,3,1,130,4.77,1,1,1,1,1,1,0,1,0,1
6,2,4,1,53,4.63,1,1,1,1,1,1,0,1,1,1
5,2,3,1,55,4.44,1,1,1,1,1,1,0,0,1,0
6,2,3,2,129,4.76,1,1,1,1,1,1,0,1,1,1
5,3,4,2,110,4.64,1,0,1,1,0,0,1,0,0,1
2,1,1,1,54,4.56,1,1,0,1,1,1,0,1,0,1
5,2,4,1,98,4.68,1,0,0,0,0,0,1,0,0,1
7,3,4,2,120,4.47,1,1,0,1,1,1,0,0,1,1
4,1,2,1,60,4.89,1,1,0,1,1,1,0,1,1,0
6,2,3,1,89,4.49,1,1,1,1,1,1,0,1,0,1
6,4,5,2,77,4.69,1,1,1,0,1,1,0,1,1,1
2,0,1,1,47,4.2,1,0,0,0,0,1,1,1,1,0
6,2,4,2,99,4.0,1,1,1,1,1,1,0,1,1,1
5,2,3,1,76,4.0,1,1,1,1,1,1,0,1,0,1
1,1,1,1,17,4.83,0,1,1,0,1,1,0,0,0,1
5,2,4,2,241,4.0,1,0,1,1,1,1,0,1,1,1
8,4,5,2,100,4.0,1,1,1,0,0,0,1,0,0,1
2,1,1,1,44,4.0,1,0,1,1,1,1,0,0,1,0
7,0,6,1,100,4.63,1,1,1,0,1,1,0,1,1,1
6,3,4,1,85,4.74,1,0,1,0,1,1,0,1,0,1
2,0,1,1,42,4.58,1,1,1,0,1,1,0,0,1,1
6,2,3,2,100,4.83,1,1,1,0,1,1,0,1,1,0
5,3,3,1,69,4.0,1,1,0,1,1,1,0,1,0,1
3,1,2,1,55,4.85,1,1,1,1,1,1,1,1,1,1
5,3,4,2,90,4.63,1,0,1,1,1,1,0,1,1,1
5,2,4,1,95,4.38,1,1,1,0,1,1,0,0,0,1
2,1,1,1,50,4.0,1,1,0,1,0,0,1,0,0,1
5,3,1,1,80,4.48,1,0,1,1,0,0,1,0,0,1
6,3,4,1,70,4.73,1,1,1,1,1,1,0,0,1,1
2,1,1,1,45,4.72,1,1,0,1,1,1,1,0,1,0
8,4,4,2,190,4.17,1,1,1,1,1,1,1,1,1,1
7,2,4,1,89,4.9,1,0,1,1,1,1,0,1,1,1
2,1,1,1,45,4.82,1,0,1,0,1,1,0,0,0,0
