huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento,limpieza,llegada_autonoma,ubicacion_fantastica,wifi,cocina,lavadora,aire,secador,frigorifico,ciudad,nombre,urls
2,1,2,1,55,4.9,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"*Studio Centre-Live-In Atocha-WiFi,A/C *",https://www.airbnb.es/rooms/20814468?adults=1&children=0&infants=0&check_in=2022-11-18&check_out=2022-11-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,3,4,2,99,4.4,Alojamiento entero,No Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"*Studio Centre-Live-In Atocha-WiFi,A/C *",https://www.airbnb.es/rooms/20814468?adults=1&children=0&infants=0&check_in=2022-11-18&check_out=2022-11-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,2,4,1,83,4.52,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,"*Studio Centre-Live-In Atocha-WiFi,A/C *",https://www.airbnb.es/rooms/20814468?adults=1&children=0&infants=0&check_in=2022-11-18&check_out=2022-11-20&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
2,1,1,1,60,4.8,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,No Wifi,No cocina,No lavadora,No Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,PISO MODERNO EN PLENO CENTRO DE MADRID,https://www.airbnb.es/rooms/18565479?adults=1&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-21&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,3,3,1,50,4.84,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,Frigorífico,Madrid,PISO MODERNO EN PLENO CENTRO DE MADRID,https://www.airbnb.es/rooms/18565479?adults=1&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-21&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
6,2,3,1,68,3.73,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,PISO MODERNO EN PLENO CENTRO DE MADRID,https://www.airbnb.es/rooms/18565479?adults=1&children=0&infants=0&check_in=2022-08-19&check_out=2022-08-21&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
2,1,2,1,55,4.93,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,No lavadora,Aire acondicionado,Secador de pelo,No Frigorífico,Madrid,"<<<Studio Centre-Live-In-Atocha-WIFI,A/C>>>",https://www.airbnb.es/rooms/46724279?adults=1&children=0&infants=0&check_in=2022-03-25&check_out=2022-03-27&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,2,3,1,55,4.45,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Madrid,"<<<Studio Centre-Live-In-Atocha-WIFI,A/C>>>",https://www.airbnb.es/rooms/46724279?adults=1&children=0&infants=0&check_in=2022-03-25&check_out=2022-03-27&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,3,4,1,49,4.43,Alojamiento entero,No Limpieza avanzada,Llegada autónoma,No ubicación_fantastica,Wifi,Cocina,Lavadora,No Aire acondicionado,Secador de pelo,Frigorífico,Madrid,"<<<Studio Centre-Live-In-Atocha-WIFI,A/C>>>",https://www.airbnb.es/rooms/46724279?adults=1&children=0&infants=0&check_in=2022-03-25&check_out=2022-03-27&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
5,2,3,1,85,4.95,Alojamiento entero,Limpieza avanzada,No Llegada autónoma,Ubicación fantástica,Wifi,Cocina,Lavadora,Aire acondicionado,No Secador de pelo,No Frigorífico,Madrid,Mi rincón de Goya (My corner in Goya),https://www.airbnb.es/rooms/18093383?adults=1&children=0&infants=0&check_in=2022-04-01&check_out=2022-04-03&previous_page_section_name=1000&federated_search_id=b1128ab6-d356-41df-87fe-f44c742a9004
